Unit,Terminal,IP,MAC,Switch,Port,Power,Orion,Zabbix,On/Off,Rebooted
120_A,T14735,10.209.25.41,70:85:c2:df:49:2d,1,2,,http://10.36.133.173/zabbix/zabbix.php?action=charts.view&view_as=showgraph&filter_hostids%5B%5D=55865&filter_set=1,https://at-orionpoll01.corp.securustech.net/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:32867,Off,
120_A,T14729,10.209.25.42,9c:6b:00:04:ef:04,1,2,,http://10.36.133.173/zabbix/zabbix.php?action=charts.view&view_as=showgraph&filter_hostids%5B%5D=55886&filter_set=1,https://at-orionpoll01.corp.securustech.net/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:32868,Off,
120_B,T14724,10.209.25.46,70:85:c2:df:48:9f,2,3,,http://10.36.133.173/zabbix/zabbix.php?action=charts.view&view_as=showgraph&filter_hostids%5B%5D=55867&filter_set=1,https://at-orionpoll01.corp.securustech.net/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:32870,Off,
240_A,T20863,10.209.25.47,a8:a1:59:5d:a5:89,3,2,,http://10.36.133.173/zabbix/zabbix.php?action=charts.view&view_as=showgraph&filter_hostids%5B%5D=55885&filter_set=1,https://at-orionpoll01.corp.securustech.net/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:32824,Off,
240_A,T14726,10.209.25.48,a8:a1:59:e5:f8:28,3,1,,http://10.36.133.173/zabbix/zabbix.php?action=charts.view&view_as=showgraph&filter_hostids%5B%5D=73536&filter_set=1,https://at-orionpoll01.corp.securustech.net/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:38916,Off,
240_B,T11154,10.209.25.51,70:85:c2:e9:50:27,4,2,,http://10.36.133.173/zabbix/zabbix.php?action=charts.view&view_as=showgraph&filter_hostids%5B%5D=55885&filter_set=1,https://at-orionpoll01.corp.securustech.net/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:32829,Off,
240_B,T14738,10.209.25.54,9c:6b:00:04:e9:10,4,3,,http://10.36.133.173/zabbix/zabbix.php?action=charts.view&view_as=showgraph&filter_hostids%5B%5D=55878&filter_set=1,https://at-orionpoll01.corp.securustech.net/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:32842,Off,
240_C,T14730,10.209.25.55,70:85:c2:df:48:e4,5,6,,http://10.36.133.173/zabbix/zabbix.php?action=charts.view&view_as=showgraph&filter_hostids%5B%5D=55880&filter_set=1,https://at-orionpoll01.corp.securustech.net/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:32838,Off,
240_C,T20888,10.209.25.58,a8:a1:59:5d:a7:e1,5,5,,http://10.36.133.173/zabbix/zabbix.php?action=charts.view&view_as=showgraph&filter_hostids%5B%5D=55892&filter_set=1,https://at-orionpoll01.corp.securustech.net/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:37839,Off,
240_D,T26184,10.209.25.61,a8:a1:59:e5:fa:45,6,7,,http://10.36.133.173/zabbix/zabbix.php?action=charts.view&view_as=showgraph&filter_hostids%5B%5D=55882&filter_set=1,https://at-orionpoll01.corp.securustech.net/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:32826,Off,
240_D,T14700,10.209.25.63,70:85:c2:df:49:e9,6,9,,http://10.36.133.173/zabbix/zabbix.php?action=charts.view&view_as=showgraph&filter_hostids%5B%5D=55893&filter_set=1,https://at-orionpoll01.corp.securustech.net/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:37838,Off,
60 Bed,t12633,10.209.25.67,70:85:c2:1c:28:31,7,4,,http://10.36.133.173/zabbix/zabbix.php?action=charts.view&view_as=showgraph&filter_hostids%5B%5D=60903&filter_set=1,https://at-orionpoll01.corp.securustech.net/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:32834,Off,
60 Bed,T14706,10.209.25.72,9c:6b:00:04:ec:bb,7,2,,http://10.36.133.173/zabbix/zabbix.php?action=charts.view&view_as=showgraph&filter_hostids%5B%5D=112692&filter_set=1,https://at-orionpoll01.corp.securustech.net/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:38917,Off,
80 Bed Lower,T17127,10.209.25.73,9c:6b:00:04:e7:da,8,6,,http://10.36.133.173/zabbix/zabbix.php?action=charts.view&view_as=showgraph&filter_hostids%5B%5D=55868&filter_set=1,https://at-orionpoll01.corp.securustech.net/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:38918,Off,
80 Bed Lower,T14643,10.209.25.77,70:85:c2:df:4a:1c,8,5,,http://10.36.133.173/zabbix/zabbix.php?action=charts.view&view_as=showgraph&filter_hostids%5B%5D=56775&filter_set=1,https://at-orionpoll01.corp.securustech.net/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:38919,Off,
80 Bed Upper,T14704,10.209.25.78,9c:6b:00:04:ea:26,9,7,,http://10.36.133.173/zabbix/zabbix.php?action=charts.view&view_as=showgraph&filter_hostids%5B%5D=114289&filter_set=1,https://at-orionpoll01.corp.securustech.net/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:38916,Off,
80 Bed Upper,T14707,10.209.25.82,9c:6b:00:04:ed:16,9,8,,http://10.36.133.173/zabbix/zabbix.php?action=charts.view&view_as=showgraph&filter_hostids%5B%5D=72146&filter_set=1,https://at-orionpoll01.corp.securustech.net/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:38920,Off,
